An #unretouched shadowy outtake of Ashley that I kind of liked after the fact...shot on #Kodak #portra400 and my #contax645. #Makeup by @facesbynoah for @patmcgrathreal contest back in November. #filmisnotdead #mediumformat #portrait #notvsco #epsonv700 #,1
Oasis,1
Feeling Light,0
Rouge,1
Jardin Secret,1
Living Tapestry,1
Sedona,2
"The Blue Swallow Motel - Tucumcari, New Mexico",0
Saint Charles Bridge in Prague,2
Untitled,3
Untitled,3
"Manarola, Italy",1
Beam me up. I saw this person just standing on a hill while our train was paused between Prague and N\xfcrnberg - #mextures #mexturesapp #nothingisordinary #spaceman #snapseed #vscophile #vscomextures #photoedit #wearevsco #exklusive_shot #jj_creative #hubcr,0
#tropical #dreaming from last week #nightsky #palmtree #nightshot #stars #galaxy #etoiles #r\xeaver #hamocklife,1
Lost Highway #hitchhiking,-2
Smoke on the Water,0
"Flooded field with tree, inversed",-1
EL VIENTO SOPLA SUAVEMENTE,1
une jeune mariee ensoleill\xe9,2
"Tivoli Italy , May 2013",1
Bridal Organic,2
Wind in the woods,1
Brenda,1
Emilie,1
*,1
untitled,3
*,1
Carmen (test),5
I saw this weird phenomenon this morning - hard to describe - #alienabduction,1
"Man with cat in Corniglia, Italy",0
Ottawa Wedding War Museum Bride,3
*,1
Reliving my youth @ hunt club field / woods,3
"Sunset over Manarola, Italy",1
"Sunset over Manarola, Italy",1
Megan Rose,1
Jazmin,1
Enry,0
Ally,2
Back Alley at dusk #ottawa,1
Justyna,1
Kate IV,-1
Kate Lounge,0
Kate smoking,-1
Kate,-1
Elena,0
Atlantis II,2
,0
,0
Anastasia,1
In the vines with rose crown,3
Ice cloud with snowflakes,3
"Justyna, adorning her veil - part of her Joan Collins Halloween get-up",1
Timber,1
autumn bouqet,1
Anaise,1
Ma Belle,2
"Early #Autumn #colors, #Ottawa, 2008",0
Dawn on the Gatineau River-,2
Atlantis,2
Paige,1
"Ottawa Fireworks, Canada Day 2012",-2
Justyna in the backyard,1
Tristen,1
Youth of a Different Flag,2
I-79,1
"National Arts Center, Ottawa",1
"Horse Thief Canyon Ranch, California (where else?)",5
Chelsea for FrAsh,3
Morning on the Farm,2
,0
Jenna,1
Autumn Portrait of Justyna,1
Ottawa under Lunar Eclipse,3
*,1
why was i programmed to feel pain?,-2
The Sweetest Melancholy,1
Metropolitain,1
Les Filles,2
Ides of Summer,1
En Vogue,2
Crossing Process,1
La Mer 2,0
La Mer,1
Mer Bleu,1
"une fille, une couronne, un jardin.",1
Into the Light,1
Warm Breeze Cool Water,3
Les Apr\xe8s-midis Ensoleill\xe9s,1
Summer Skin,0
Soul Meets Body,1
Rose Rouge,1
Flower Girl,2
,0
"Gonna make a selfie in the month of May, in the month of May, in the month of May...",1
Alyssa (2nd Edit),5
Joel Bedford Weddings on Instagram,1
#portrait of @ramatacoulibaly from @mimmodels #fascinator #moody #bwlove #bestbw #ritrato #faces #blackmodel #blackwoman #ebony #canon #toned #bwportrait #portraiture #shadows #ombres #darkness,2
La dame du for\xeat enchant\xe9e,2
An #unretouched shadowy outtake of Ashley that I kind of liked after the fact...shot on #Kodak #portra400 and my #contax645. #Makeup by @facesbynoah for @patmcgrathreal contest back in November. #filmisnotdead #mediumformat #portrait #notvsco #epsonv700 #,1
Oasis,1
Feeling Light,0
Rouge,1
Jardin Secret,1
Living Tapestry,1
Sedona,2
"The Blue Swallow Motel - Tucumcari, New Mexico",0
Saint Charles Bridge in Prague,2
Untitled,3
Untitled,3
"Manarola, Italy",1
Beam me up. I saw this person just standing on a hill while our train was paused between Prague and N\xfcrnberg - #mextures #mexturesapp #nothingisordinary #spaceman #snapseed #vscophile #vscomextures #photoedit #wearevsco #exklusive_shot #jj_creative #hubcr,0
#tropical #dreaming from last week #nightsky #palmtree #nightshot #stars #galaxy #etoiles #r\xeaver #hamocklife,1
Lost Highway #hitchhiking,-2
Smoke on the Water,0
"Flooded field with tree, inversed",-1
EL VIENTO SOPLA SUAVEMENTE,1
une jeune mariee ensoleill\xe9,2
"Tivoli Italy , May 2013",1
Bridal Organic,2
Wind in the woods,1
Brenda,1
Emilie,1
*,1
untitled,3
*,1
Carmen (test),5
I saw this weird phenomenon this morning - hard to describe - #alienabduction,1
"Man with cat in Corniglia, Italy",0
Ottawa Wedding War Museum Bride,3
*,1
Reliving my youth @ hunt club field / woods,3
"Sunset over Manarola, Italy",1
"Sunset over Manarola, Italy",1
Megan Rose,1
Jazmin,1
Enry,0
Ally,2
Back Alley at dusk #ottawa,1
Justyna,1
Kate IV,-1
Kate Lounge,0
Kate smoking,-1
Kate,-1
Elena,0
Atlantis II,2
,0
,0
Anastasia,1
In the vines with rose crown,3
Ice cloud with snowflakes,3
"Justyna, adorning her veil - part of her Joan Collins Halloween get-up",1
Timber,1
autumn bouqet,1
Anaise,1
Ma Belle,2
"Early #Autumn #colors, #Ottawa, 2008",0
Dawn on the Gatineau River-,2
Atlantis,2
Paige,1
"Ottawa Fireworks, Canada Day 2012",-2
Justyna in the backyard,1
Tristen,1
Youth of a Different Flag,2
I-79,1
"National Arts Center, Ottawa",1
"Horse Thief Canyon Ranch, California (where else?)",5
Chelsea for FrAsh,3
Morning on the Farm,2
,0
Jenna,1
Autumn Portrait of Justyna,1
Ottawa under Lunar Eclipse,3
*,1
why was i programmed to feel pain?,-2
The Sweetest Melancholy,1
Metropolitain,1
Les Filles,2
Ides of Summer,1
En Vogue,2
Crossing Process,1
La Mer 2,0
La Mer,1
Mer Bleu,1
"une fille, une couronne, un jardin.",1
Into the Light,1
Warm Breeze Cool Water,3
Les Apr\xe8s-midis Ensoleill\xe9s,1
Summer Skin,0
Soul Meets Body,1
Rose Rouge,1
Flower Girl,2
,0
"Gonna make a selfie in the month of May, in the month of May, in the month of May...",1
Alyssa (2nd Edit),5
Chelsea,2
Justyna,1
rouge,1
*,1
Alyssa,1
"Lilly, Lavishly Lit",0
*,1
Amanda in Alley,2
Mellow Place,3
Wait up!,4
soft mute,2
Ralph,1
"Scrap Yard - Toronto, 2009",-1
Retouching 1,1
Live from Times Square,0
New Year,1
Le R\xeave,1
City Slicker,1
Butcher,3
i-self,0
Forest Abstraction,1
"Self, October 2010",0
Avalyne,1
Simon & Avalyne,1
Chelsea 2,1
Chelsea,2
10:15,0
Close encounters of the slow kind,0
Test...,0
Walk This Way,1
September Self,0
Wild Child,2
Dusk on Grand Lake,2
,0
Research,1
The Calm River,3
Dorian,1
Breeze,2
Sound of Silence,0
Marco,1
Amanda,1
Ashley,1
Talya,1
Talya (color),5
Profile 1,1
Amelie,1
9:08 am,0
Light,1
Jessica,2
C.M.,1
Nick,1
Take It Easy,2
Palm Reading,1
Moonlight in Winter Field,2
Say It Loud,1
August,0
Porte St. Louis,-2
Grass,1
Quebec City Rooftop (Modern),5
Midsummers Night Dream,1
*,1
Watch It,1
Future Visions,3
Delusions of Grandeur,2
Dash,1
The Ambush,1
Fairest,3
Time and Space,2
Restraint,1
9 Lives,1
The Gathering,1
Bursting in Air,0
Morning Stroll,3
Pacific Rim Vista,1
*,1
Amy,1
Music for the Mind,3
***,1
pigeon at dawn,1
The Valley,1
blond ambition,3
La Femme des Lignes,1
Back to Nature,1
Summer Breeze,2
Her Favorite Season,1
Think it Through,0
Lady of the Line,1
uv rays,-1
diego loves the sun,3
***,1
Dusk Deluxe,1
Hollywood,1
Giselle,1
walk the walk,1
Street Beat II,1
dutch touch,1
Inside,-1
Ode to Noir,3
Her 3rd L.P. - 1969,2
Dad (unreal edit),5
*,1
*,1
True Blue,2
Change of Plans,0
Homecoming,2
Past,-1
Saving Daylight,2
By Things Roll,2
Joel,1
Willows,1
Mud Lake,1
Stephanie 1,1
Aftermath,-1
...,1
Gull,1
"Foreshadow, 1895",1
Garden Goodness,3
Checkpoint,1
Snow Drift,0
Perspective,3
Contemporary Lifestyle,2
Down Stream,-2
SoHo 1,1
Land of Milk & Honey,2
Miami Mama,1
Alex,1
Air of Light,1
Flags of no particular significance (*),0
Liz,1
*,1
Desiderata,1
"Williamsburg, October 2006",2
"Le Jardin, 1892",1
Regal Beagle,0
Joel,1
Deconstruction,1
Evening Bloom,1
The Ascent,1
The Old Carpet Factory,0
501,1
The Eastern Townships,5
Elemental (Color),5
DT Digs,2
Yours and Mine,1
Elemental,3
Park Place,2
Alone,-3
Distance,0
Limbo,-1
Maui Wowie,1
Summer Love,1
Good Things Come,2
3 Seasons,1
Tunnel Vision,1
Bathurst Street,1
End of Days,0
Flags Of No Particular Significance,0
Abra,1
Sunken City,1
Strident,2
Hours of Dissolution,0
Hills Near Mexico City,0
Always On My Mind,1
Toronto Fire February 20 2008,0
Toronto Fire February 20 2008,0
Toronto Fire February 20 2008,0
Toronto Fire February 20 2008,0
Toronto Fire February 20 2008,0
Toronto Fire February 20 2008,0
self with colored tiles,2
Silence Matin,1
Walk Through Shadows,1
Blue Beach,2
The Finer Things,1
Twisted Thing,0
Safety First,1
Sick Berries,-1
Autumn Web,1
Credit River,1
Test 4...,0
Alone with Space,-1
gull feather,1
J5,1
yellow green leaves,-2
Christmas Tree at Parliament Hill,2
"Parliament Buildings, Ottawa",1
Centre-Block-Hall,-1
St Lawrence,0
Midtown Evening,-1
Liberty,1
Hipster,1
Light in the Clearing,1
The Townships (view large),5
Skeptical Optimism / Blue Steel,3
Haunted House,1
Tall Grass with Birch,1
Translation,2
lake with cloud (cuore di spurgo),5
Winter,0
The Clearing,1
Hollowed Point,-1
Lost Land I,-1
black dog,0
The Awakening,1
Half Moon on the Pier,1
Morning Glory (d.l.v.),5
Where Time Stands Still (Morning Glory),5
Classified,2
Solitude,1
"Outlawed, not out-numbered",-1
Tiny Vessels,1
Drifting North,1
For Summer,1
Book-Club,1
Star Rise,2
"Girl in pink dress in Alley - Toronto, 2007",1
Bird of Earth,1
fizzy_flock_(remix),3
manos de trabajo,1
Where Time Stands Still,-1
"Farewell to Shady Glade / Adieu, ma Clairi\xe8re Ombreuse",2
Ode to Heat III,1
conch and chess board,0
bridge and forest pond,2
fist,1
mauve skies and scorched ground,1
love your neighbor,1
Ode to Heat II (painted),5
Ode-to-Heat-II,1
the mellow light,2
The Road Below,0
storm factory,0
the-lake,2
field with clouds,-1
morning-coffee,2
secret-passage,0
"shoooo, fly",1
heavy revelations,1
lake with cloud,2
The-Solstice-of-Venus,-2
Poppies I,1
out of the storm,-1
future living,2
R.P.C.,1
supper time,2
buenas tardes,2
Moet & Chat,1
M1A,1
Eyedeas,1
city-space-1,2
whatever u want,0
Me and my (old) camera.,4
New-Beginnings,3
Kids Turf,1
Smokestack,1
Torch,1
Pyramid-of-the-Sun,1
Lost-in-Lomo,-1
G7_F,1
October_14,1
Garden of Life,2
GG,4
Decoy,1
Garage-Detail,1
"I-Wish-I-Were-Going,-Too",-5
aqua renaissance,2
Sleep,0
Ruins Near Teotihuacan,-3
No Diamonds,0
Vista,0
m\xfasculo amarillo,1
"tenga-cuidado, amigo",-1
bikerboys-(edit),3
Ode to Heat,1
fizzy flock,1
Sweet Cacti,2
Empire,1
Heavy Pipes,0
Nothing To Say,-1
Comfortable Research,1
orchid_variation_2,1
the fallout,1
Stillness,2
LES Scene_1,2
Driggs Street,1
The City,1
Geminis,0
Red Skirt,1
The Suppression of Dissent,1
subtle-lighting,1
Cloud Waves,2
badge3020757,1
hot-beach,1
namba-overpass_web,1
white-field-flowers,2
Chief Chasing-Squirrel,1
autumn-shoreline,3
subtle wall light with statue and branches,2
Hivernal Meditation,3
OLD-NYC-BUILDING,0
Poplars,1
fog-and-thaw,1
Thaw,1
purple-flower,2
Gravity and Bicycle,3
modern-fire-escape-montreal,0
Blowing-Snow,0
Field_Flowers,1
cold ride,-2
Mary and Joseph,1
"FourSquare
", 
"Rice, beans, cheese, cilantro  why eat anything else when you can get all the important food groups wrapped into one delicious pound of foil? Now pass those nachos, will ya? Its time to guac and roll.That's 5 different Mexican spots! Visit 5 new places to unlock Level 3. Slather on that green sauce!",1
"No dilemma for you - its veggies all the way. Now treat yourself to a Tofurky club and a shot of kombucha. After all, youve joined the esteemed ranks of Brad Pitt and Pamela Anderson. And Gandhi.That's 10 different vegetarian spots! Chow down at 5 new places to unlock Level 4. Mm...fiber.",1
"Did you order the tako-wasa? How about tamago yaki to start? Ooh, and definitely get some ponzu on the side. Better yet, ditch the menu and go omakase like a pro. The chefs will definitely yell Arigatogozaimashita when you leave.That's 10 different Japanese joints! Unlock Level 4 by eating at 5 new places. Sushi boat time!",1
"Your first check-in! Foursquare keeps track of your adventures and milestones, like visiting five new sushi spots or galleries. And with every check-in, we learn about what you like and can give you better recommendations.",3
Drinking a Kstritzer Schwarzbier by Kstritzer Schwarzbierbrauerei,1
Cool little Brewpub in a restored mansion.  Drinking a Victor IPA by Wrecking Bar Brewing,2
"Instagram
", 
Content with some spaces and new lines !!!!! http://dev.ize.com/l8,3
Content with some spaces and new lines !!!!!http://dev.ize.com/l8,3
I'm watching you... #ad http://bit.ly/19zaE6f,3
"AD: Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis sed elementum tellus, quis scelerisque odio. In eget congue ipsum, vel faucibus ipsum. Curabitur non elit libero. Nullam massa tellus, ultrices hendrerit nibh at, interdum convallis purus. Donec at arcu sed erat pulvinar viverra. Vivamus venenatis magna convallis varius gravida. http://bit.ly/19zaE6f",0
Brian is a kangaroo! #ad http://bit.ly/M8RNXF,1
Work! #ad http://bit.ly/1bwhVSx,-1
Another filter,0
Just filter,1
Wrong Filtered,-1
Wrong picture.,-2
"All the options! Bordered, Filtered, Auto-Contrasted.",0
AD: Kangaroo Brian! http://bit.ly/MvuVBs,1
So many filters.,0
...and comments.,1
Filtered Dean,1
Random comment.,2
Unamused Dean! #ad http://bit.ly/1nbjpGW,1
My first photo!,2
Beautiful! Mine are coming into bloom right now too!,2
My Dogwood trees are blooming,2
"#DinnerTonight Chicken Enchiladas topped with hot sauce, onions, sour cream and shredded cheese",0
My niece and nephew dance with Sweet Frogs,3
My niece at her brother's party,1
My nephew gets a big hug from Conrad during his party at the Crawdads baseball game.,0
My nephew checks out his new shades at his birthday party.,2
#DinnerTonight Hot Dogs and potato chips,-1
My granddaughter at the Crawdads ballgame and we won.,0
"#DinnerTonight BBQ Chicken, green beans, baked beans, coleslaw, potato salad, and corn on the cob",0
This is the Easter basket I made for my granddaughter.,1
"Easter flowers my husband bought me smell so good, and they're pretty, too.",2
#KrispyKreme Easter Egg Doughnut has chocolate filling and is so yummy,2
This Easter basket is for my mother-in-law who is in a health care facility. The bow is clipped on so she can wear it in her hair.,-1
"#DinnerTonight Venison with fried onions, smashed baby potatoes, and mixed vegetables",-3
#DinnerTonight Pizza,1
#DinnerTonight Tuscan Santa Fe Chicken Lasagna with garlic toast,-1
#DinnerTonight PDQ Grilled Chicken Salad with Mustard dressing,1
#DinnerTonight SanteFe Chicken Enchilada Soup,0
"#DinnerTonight Coconut Shrimp with sauce, fish, French fries, and cole slaw",1
"#DinnerTonight BBQ Beef Brisket, mashed potatoes, and mixed vegetables",3
Test Description,1
Test Description,1
Test Description,1
Nice,4
Test Description http://qa.ize.com/lfq,1
Beautiful! Mine are coming into bloom right now too!,2
My Dogwood trees are blooming,2
"#DinnerTonight Chicken Enchiladas topped with hot sauce, onions, sour cream and shredded cheese",0
My niece and nephew dance with Sweet Frogs,3
My niece at her brother's party,1
My nephew gets a big hug from Conrad during his party at the Crawdads baseball game.,0
My nephew checks out his new shades at his birthday party.,2
#DinnerTonight Hot Dogs and potato chips,-1
My granddaughter at the Crawdads ballgame and we won.,0
"#DinnerTonight BBQ Chicken, green beans, baked beans, coleslaw, potato salad, and corn on the cob",0
This is the Easter basket I made for my granddaughter.,1
"Easter flowers my husband bought me smell so good, and they're pretty, too.",2
#KrispyKreme Easter Egg Doughnut has chocolate filling and is so yummy,2
This Easter basket is for my mother-in-law who is in a health care facility. The bow is clipped on so she can wear it in her hair.,-1
"#DinnerTonight Venison with fried onions, smashed baby potatoes, and mixed vegetables",-3
#DinnerTonight Pizza,1
#DinnerTonight Tuscan Santa Fe Chicken Lasagna with garlic toast,-1
#DinnerTonight PDQ Grilled Chicken Salad with Mustard dressing,1
#DinnerTonight SanteFe Chicken Enchilada Soup,0
"#DinnerTonight Coconut Shrimp with sauce, fish, French fries, and cole slaw",1
"#DinnerTonight BBQ Beef Brisket, mashed potatoes, and mixed vegetables",3
"Pintrest
", 
english country garden even a small garden can look wonderfully ...,2
Mosquito Repelling Plants,-1
